iter	Logloss
470	0.3343720179
471	0.3342382528
472	0.3340368069
473	0.3339088691
474	0.3337710588
475	0.3336580385
476	0.3335181129
477	0.3333982448
478	0.3332989381
479	0.3332017579
480	0.333094648
481	0.3330095403
482	0.3328316984
483	0.3326560871
484	0.332483308
485	0.3322658814
486	0.3321203504
487	0.3320535123
488	0.3319049049
489	0.3317644914
490	0.3316510055
491	0.3315084774
492	0.3313870146
493	0.3312709075
494	0.3311347998
495	0.330993171
496	0.3308867152
497	0.3307811361
498	0.3306494464
499	0.3305466694
500	0.3304346144
501	0.3303185101
502	0.3301939281
503	0.3300363329
504	0.3299244703
505	0.3298258304
506	0.3297285903
507	0.3296415056
508	0.3295217698
509	0.3294377505
510	0.3292445474
511	0.3291050471
512	0.3289643476
513	0.3288723947
514	0.3287359404
515	0.3285715023
516	0.3284755502
517	0.3282713095
518	0.3281218921
519	0.3279578929
520	0.3278586978
521	0.3277360581
522	0.3276448806
523	0.3275221129
524	0.3273726965
525	0.3272402929
526	0.3271602014
527	0.3270486822
528	0.3268711646
529	0.3267855052
530	0.3266772428
531	0.3264819063
532	0.3263973986
533	0.3263017336
534	0.3262178075
535	0.3261331833
536	0.3260472836
537	0.3258949297
538	0.3257787699
539	0.3256365684
540	0.325551299
541	0.3254066214
542	0.3252641524
543	0.325159637
544	0.3250131663
545	0.3248276669
546	0.3247421221
547	0.3246462754
548	0.3244892336
549	0.3243664617
550	0.3241895056
551	0.3240883984
552	0.3239339186
553	0.3238306781
554	0.3237279886
555	0.3236077451
556	0.3234494712
557	0.3233298596
558	0.3232513493
559	0.3231255464
560	0.3230029527
561	0.3229086378
562	0.3227483876
563	0.3226237483
564	0.3225111626
565	0.3224377041
566	0.3223234461
567	0.3222137955
568	0.3221183048
569	0.3220341235
570	0.3219235683
571	0.3218382603
572	0.3217341398
573	0.3216680527
574	0.3215366701
575	0.3214322457
576	0.3212602819
577	0.321181218
578	0.3210456378
579	0.3209417118
580	0.3208432278
581	0.3207411618
582	0.3206676394
583	0.3205790514
584	0.3205032211
585	0.320400569
586	0.3203445944
587	0.3201792416
588	0.3200298326
589	0.3198834607
590	0.3198010683
591	0.3196127483
592	0.319521119
593	0.31939199
594	0.3192591773
595	0.3191006227
596	0.3189954316
597	0.3189111781
598	0.3188362534
599	0.3186900751
600	0.3185653089
601	0.3184214532
602	0.3182855561
603	0.318134759
604	0.3179954606
605	0.3178743463
606	0.3177491396
607	0.3176292473
608	0.3175499917
609	0.317437613
610	0.3172974982
611	0.3171505851
612	0.31710734
613	0.3170150334
614	0.3168715824
615	0.3167842094
616	0.316716594
617	0.3165771425
618	0.3164850478
619	0.3163501191
620	0.3161931544
621	0.3160368155
622	0.3158627909
623	0.3157132924
624	0.3155323854
625	0.3153880115
626	0.3152609306
627	0.3151909094
628	0.3150902942
629	0.3150292365
630	0.314946702
631	0.3148582126
632	0.3147066078
633	0.3146266919
634	0.314561257
635	0.3144175347
636	0.3142933987
637	0.3141849242
638	0.3141159946
639	0.313942269
640	0.3138600487
641	0.3137405164
642	0.3136099924
643	0.3134769694
644	0.3133754909
645	0.3132899498
646	0.3132281279
647	0.3131340167
648	0.3130673839
649	0.3129293388
650	0.3128006863
651	0.3127296954
652	0.3125932225
653	0.3124886463
654	0.3123340826
655	0.3121977443
656	0.3120611525
657	0.3119786056
658	0.3117858041
659	0.3116750217
660	0.3115899565
661	0.3115108981
662	0.3113841282
663	0.3112057706
664	0.3110836924
665	0.3109028358
666	0.3108134639
667	0.3107607226
668	0.3106890311
669	0.3106265862
670	0.3105254297
671	0.3104323812
672	0.3102734501
673	0.3101707809
674	0.3101002842
675	0.3099366361
676	0.3098216522
677	0.3096986848
678	0.3095253262
679	0.3093791517
680	0.3092297254
681	0.3091328757
682	0.3090469421
683	0.3089861537
684	0.3089375118
685	0.308806069
686	0.3087399732
687	0.3086699225
688	0.3085820099
689	0.3084558127
690	0.3083414052
691	0.3081617002
692	0.3080463827
693	0.3079944604
694	0.3078988821
695	0.3078237187
696	0.3077162333
697	0.3076091675
698	0.3074550367
699	0.3073506197
700	0.3071982664
701	0.3071292375
702	0.3070647087
703	0.306957336
704	0.3067850565
705	0.3066432245
706	0.3065856126
707	0.3064680574
708	0.3063468921
709	0.3062645614
710	0.3061870289
711	0.3061109999
712	0.3059675408
713	0.3058912117
714	0.3057705937
715	0.3056322568
716	0.3055166795
717	0.3054280231
718	0.3053400947
719	0.3052130384
720	0.3051413145
721	0.3049866
722	0.3048604073
723	0.3047960125
724	0.3047019566
725	0.3046001729
726	0.3045567765
727	0.3044610461
728	0.3043202601
729	0.3042526455
730	0.3041001137
731	0.3039493922
732	0.3038442096
733	0.3037516201
734	0.3036434662
735	0.3035581314
736	0.3034428007
737	0.3033725091
738	0.3032623095
739	0.3031508697
740	0.3030780143
741	0.3030227888
742	0.3028983831
743	0.3028278849
744	0.3027602606
745	0.3026230707
746	0.3025349672
747	0.3024349407
748	0.3023029536
749	0.302224349
750	0.3020696781
751	0.3019513243
752	0.3018678545
753	0.3017613963
754	0.301688346
755	0.3015123383
756	0.3013984421
757	0.3013054834
758	0.3012256438
759	0.3010807809
760	0.3010319079
761	0.3009704145
762	0.300809735
763	0.3007380073
764	0.3006386573
765	0.3004948486
766	0.3003537388
767	0.3002510202
768	0.3000969257
769	0.2999894655
770	0.2998904945
771	0.2998215734
772	0.299736912
773	0.2996960666
774	0.2995666789
775	0.2994265639
776	0.2993505374
777	0.2993012258
778	0.2991769846
779	0.2990922413
780	0.2990261463
781	0.2989496753
782	0.2988706519
783	0.298803481
784	0.2987054107
785	0.2985970702
786	0.2984416211
787	0.2983458827
788	0.2982679682
789	0.2982033227
790	0.2980753235
791	0.2980106386
792	0.2979414351
793	0.2978663313
794	0.2977189005
795	0.2976551682
796	0.2975671101
797	0.2974665287
798	0.2973299638
799	0.2972494394
800	0.2971991908
801	0.2971176738
802	0.2970324813
803	0.2969388799
804	0.2967984427
805	0.2966845086
806	0.2965931056
807	0.2964501581
808	0.2963638098
809	0.296197382
810	0.2961311514
811	0.2960336926
812	0.2958850009
813	0.2958082781
814	0.2957155796
815	0.2956198157
816	0.2955055928
817	0.2954423077
818	0.2953656742
819	0.295295869
820	0.2951870491
821	0.2951337714
822	0.2950454042
823	0.2949115414
824	0.294778751
825	0.2946757949
826	0.2945438409
827	0.2944789863
828	0.2943120505
829	0.2942052139
830	0.2940638618
831	0.2939751442
832	0.2938748026
833	0.2937711109
834	0.2936444404
835	0.2935795621
836	0.2934716074
837	0.2933601897
838	0.2932897044
839	0.2932441049
840	0.2931480375
841	0.2931034554
842	0.2929820666
843	0.2928604741
844	0.2927463231
845	0.2925766001
846	0.2924831573
847	0.2923628873
848	0.2922640288
849	0.2921781126
850	0.2921128077
851	0.2920294143
852	0.2919795533
853	0.2918556244
854	0.2916908282
855	0.2915533655
856	0.2914722885
857	0.2914086818
858	0.291316994
859	0.291201588
860	0.2911362054
861	0.291038913
862	0.2909218834
863	0.2908178099
864	0.2906836781
865	0.2906195769
866	0.2905844417
867	0.2904893493
868	0.2903793248
869	0.2903041473
870	0.2901993608
871	0.2901384294
872	0.2900697796
873	0.2899896063
874	0.2899010935
875	0.2898115807
876	0.2897155345
877	0.2896345698
878	0.2895039446
879	0.2894387567
880	0.2893530821
881	0.2892653285
882	0.2891539764
883	0.2890517037
884	0.2889659676
885	0.2888512483
886	0.2887771686
887	0.2886920672
888	0.2885631936
889	0.2884667327
890	0.2883790627
891	0.2883099494
892	0.288238988
893	0.2880923518
894	0.2880201103
895	0.2879825356
896	0.2878896116
897	0.2877353165
898	0.2876127083
899	0.2875511646
900	0.2874432368
901	0.2873677234
902	0.2872851692
903	0.2871852851
904	0.2871169853
905	0.2869702382
906	0.2868670141
907	0.2868393366
908	0.2867649553
909	0.2866490106
910	0.2865875692
911	0.2864907726
912	0.2863621739
913	0.2863062678
914	0.2862325959
915	0.286176072
916	0.286128444
917	0.286073421
918	0.285985491
919	0.2859165571
920	0.2858754035
921	0.2858125172
922	0.2857216903
923	0.2856401537
924	0.2855513833
925	0.2854587237
926	0.2853832031
927	0.285267485
928	0.2851697104
929	0.2851153688
930	0.2850035374
931	0.2848809049
932	0.2847231326
933	0.2846232499
934	0.2845231304
935	0.2844296626
936	0.2843205416
937	0.2842363541
938	0.2841412344
939	0.2840764963
940	0.2839758205
941	0.2838654213
942	0.2837510288
943	0.283674314
944	0.2835787149
945	0.2834696958
946	0.2833940702
947	0.2832952174
948	0.2832696993
949	0.2831943496
950	0.283174243
951	0.283108822
952	0.2829271265
953	0.2827943544
954	0.2827043665
955	0.2826163783
956	0.2825501403
957	0.2824546649
958	0.2823703842
959	0.2822325809
960	0.2821825196
961	0.2820357116
962	0.2819613066
963	0.2818828629
964	0.2818095631
965	0.2817406519
966	0.2816046006
967	0.2814965457
968	0.2813733688
969	0.2812885638
970	0.2812050592
971	0.2811259303
972	0.2810542027
973	0.2809472365
974	0.2808645497
975	0.2808047493
976	0.2807269839
977	0.280636735
978	0.2805110818
979	0.2804185926
980	0.280326381
981	0.2802252591
982	0.280169069
983	0.280031363
984	0.2799630255
985	0.2798593432
986	0.2797179942
987	0.2796668711
988	0.2796423377
989	0.2795664533
990	0.2794800506
991	0.2794221605
992	0.279303749
993	0.2792029678
994	0.2791060213
995	0.2790265219
996	0.2789653936
997	0.2788794888
998	0.2788319027
999	0.2787876314
