iter	Passed	Remaining
367	997	1713
368	1000	1710
369	1003	1708
370	1007	1708
371	1010	1706
372	1013	1704
373	1016	1701
374	1019	1699
375	1022	1697
376	1025	1695
377	1029	1693
378	1031	1690
379	1034	1688
380	1037	1685
381	1040	1683
382	1043	1681
383	1046	1678
384	1049	1676
385	1052	1673
386	1055	1671
387	1058	1668
388	1060	1666
389	1063	1663
390	1066	1661
391	1069	1659
392	1072	1656
393	1075	1653
394	1076	1649
395	1079	1646
396	1082	1644
397	1085	1641
398	1087	1638
399	1090	1635
400	1092	1632
401	1095	1630
402	1098	1627
403	1101	1624
404	1103	1621
405	1106	1618
406	1108	1615
407	1111	1612
408	1114	1610
409	1117	1607
410	1119	1604
411	1122	1602
412	1125	1599
413	1128	1596
414	1131	1594
415	1134	1592
416	1137	1589
417	1139	1586
418	1142	1584
419	1145	1581
420	1147	1578
421	1150	1576
422	1153	1573
423	1156	1571
424	1159	1568
425	1162	1566
426	1165	1563
427	1168	1561
428	1170	1558
429	1173	1555
430	1176	1553
431	1179	1550
432	1182	1548
433	1184	1545
434	1187	1542
435	1190	1539
436	1193	1537
437	1196	1534
438	1198	1531
439	1201	1528
440	1203	1526
441	1206	1523
442	1209	1520
443	1211	1517
444	1214	1514
445	1217	1511
446	1219	1509
447	1222	1506
448	1225	1503
449	1227	1500
450	1230	1497
451	1232	1494
452	1235	1492
453	1238	1489
454	1240	1486
455	1243	1483
456	1245	1479
457	1248	1477
458	1250	1474
459	1253	1471
460	1255	1468
461	1258	1465
462	1260	1461
463	1263	1459
464	1265	1456
465	1268	1453
466	1270	1450
467	1273	1447
468	1276	1444
469	1278	1441
470	1280	1438
471	1283	1435
472	1285	1432
473	1288	1429
474	1290	1426
475	1293	1423
476	1295	1420
477	1298	1417
478	1300	1414
479	1303	1411
480	1305	1408
481	1308	1405
482	1310	1402
483	1312	1399
484	1315	1396
485	1317	1393
486	1319	1390
487	1322	1387
488	1324	1384
489	1327	1381
490	1329	1378
491	1332	1375
492	1334	1372
493	1337	1369
494	1339	1366
495	1342	1363
496	1344	1360
497	1346	1357
498	1349	1354
499	1351	1351
500	1354	1349
501	1357	1346
502	1359	1343
503	1361	1340
504	1364	1337
505	1366	1334
506	1369	1331
507	1371	1328
508	1374	1325
509	1376	1322
510	1379	1319
511	1381	1317
512	1402	1331
513	1404	1328
514	1407	1325
515	1410	1322
516	1412	1319
517	1415	1316
518	1417	1313
519	1420	1310
520	1422	1307
521	1425	1305
522	1427	1302
523	1430	1299
524	1432	1296
525	1434	1293
526	1437	1290
527	1439	1287
528	1442	1284
529	1444	1281
530	1447	1278
531	1449	1275
532	1452	1272
533	1454	1269
534	1456	1266
535	1459	1263
536	1461	1260
537	1464	1257
538	1467	1254
539	1469	1251
540	1472	1249
541	1474	1246
542	1477	1243
543	1479	1240
544	1482	1237
545	1484	1234
546	1487	1231
547	1489	1228
548	1492	1225
549	1494	1223
550	1497	1220
551	1499	1217
552	1502	1214
553	1504	1211
554	1507	1208
555	1509	1205
556	1512	1202
557	1514	1199
558	1517	1197
559	1520	1194
560	1522	1191
561	1525	1188
562	1527	1185
563	1529	1182
564	1532	1179
565	1534	1176
566	1537	1173
567	1539	1171
568	1542	1168
569	1545	1165
570	1547	1162
571	1549	1159
572	1552	1157
573	1555	1154
574	1557	1151
575	1560	1148
576	1562	1145
577	1564	1142
578	1567	1139
579	1570	1136
580	1572	1134
581	1575	1131
582	1578	1128
583	1584	1128
584	1587	1125
585	1589	1122
586	1591	1120
587	1594	1117
588	1596	1114
589	1599	1111
590	1601	1108
591	1604	1105
592	1606	1102
593	1609	1099
594	1611	1096
595	1614	1094
596	1616	1091
597	1619	1088
598	1621	1085
599	1624	1082
600	1626	1079
601	1629	1077
602	1631	1074
603	1634	1071
604	1636	1068
605	1638	1065
606	1641	1062
607	1643	1059
608	1646	1057
609	1649	1054
610	1651	1051
611	1654	1048
612	1656	1045
613	1658	1042
614	1661	1040
615	1664	1037
616	1666	1034
617	1669	1031
618	1671	1028
619	1674	1026
620	1677	1023
621	1680	1020
622	1682	1018
623	1684	1015
624	1687	1012
625	1690	1009
626	1692	1006
627	1695	1004
628	1697	1001
629	1699	998
630	1702	995
631	1704	992
632	1707	990
633	1710	987
634	1712	984
635	1714	981
636	1717	978
637	1719	975
638	1722	972
639	1724	969
640	1727	967
641	1729	964
642	1731	961
643	1734	958
644	1736	955
645	1739	953
646	1741	950
647	1744	947
648	1746	944
649	1749	941
650	1751	939
651	1754	936
652	1756	933
653	1759	930
654	1761	927
655	1764	925
656	1766	922
657	1769	919
658	1771	916
659	1774	913
660	1776	911
661	1779	908
662	1781	905
663	1783	902
664	1786	899
665	1788	897
666	1791	894
667	1793	891
668	1796	888
669	1798	885
670	1801	883
671	1803	880
672	1806	877
673	1808	874
674	1811	871
675	1813	869
676	1816	866
677	1818	863
678	1820	860
679	1823	858
680	1825	855
681	1828	852
682	1830	849
683	1833	846
684	1835	844
685	1838	841
686	1840	838
687	1843	835
688	1845	833
689	1848	830
690	1850	827
691	1853	824
692	1855	822
693	1858	819
694	1860	816
695	1863	813
696	1865	811
697	1868	808
698	1870	805
699	1873	802
700	1875	800
701	1878	797
702	1881	794
703	1883	792
704	1886	789
705	1889	786
706	1891	783
707	1894	781
708	1897	778
709	1900	776
710	1902	773
711	1905	770
712	1907	767
713	1910	765
714	1913	762
715	1915	759
716	1918	757
717	1921	754
718	1923	751
719	1925	748
720	1928	746
721	1931	743
722	1933	740
723	1935	738
724	1938	735
725	1941	732
726	1943	729
727	1945	727
728	1948	724
729	1950	721
730	1953	718
731	1956	716
732	1958	713
733	1961	710
734	1963	708
735	1966	705
736	1968	702
737	1971	699
738	1974	697
739	1977	694
740	1979	691
741	1982	689
742	1985	686
743	1988	684
744	1990	681
745	1993	678
746	1996	676
747	1999	673
748	2002	670
749	2004	668
750	2007	665
751	2009	662
752	2012	660
753	2015	657
754	2017	654
755	2020	652
756	2023	649
757	2025	646
758	2028	644
759	2032	641
760	2034	639
761	2037	636
762	2040	633
763	2042	631
764	2045	628
765	2048	625
766	2051	623
767	2054	620
768	2057	617
769	2059	615
770	2062	612
771	2065	609
772	2068	607
773	2070	604
774	2073	601
775	2076	599
776	2078	596
777	2081	593
778	2084	591
779	2086	588
780	2089	585
781	2092	583
782	2094	580
783	2097	577
784	2099	575
785	2102	572
786	2105	569
787	2107	567
788	2110	564
789	2113	561
790	2116	559
791	2118	556
792	2121	553
793	2124	551
794	2126	548
795	2129	545
796	2132	543
797	2135	540
798	2137	537
799	2140	535
800	2143	532
801	2146	529
802	2149	527
803	2151	524
804	2154	521
805	2157	519
806	2160	516
807	2162	513
808	2165	511
809	2168	508
810	2171	506
811	2174	503
812	2176	500
813	2179	497
814	2182	495
815	2184	492
816	2187	490
817	2190	487
818	2193	484
819	2196	482
820	2198	479
821	2201	476
822	2204	474
823	2207	471
824	2209	468
825	2212	466
826	2215	463
827	2218	460
828	2220	458
829	2223	455
830	2226	452
831	2229	450
832	2231	447
833	2234	444
834	2237	442
835	2240	439
836	2243	436
837	2245	434
838	2248	431
839	2250	428
840	2253	425
841	2255	423
842	2258	420
843	2260	417
844	2263	415
845	2265	412
846	2268	409
847	2270	407
848	2273	404
849	2275	401
850	2278	398
851	2280	396
852	2283	393
853	2285	390
854	2288	388
855	2290	385
856	2293	382
857	2295	379
858	2298	377
859	2300	374
860	2303	371
861	2305	369
862	2308	366
863	2310	363
864	2312	360
865	2315	358
866	2317	355
867	2320	352
868	2323	350
869	2325	347
870	2327	344
871	2330	342
872	2332	339
873	2334	336
874	2337	333
875	2340	331
876	2342	328
877	2345	325
878	2347	323
879	2350	320
880	2352	317
881	2355	315
882	2357	312
883	2360	309
884	2362	307
885	2365	304
886	2367	301
887	2370	298
888	2372	296
889	2375	293
890	2377	290
891	2380	288
892	2382	285
893	2385	282
894	2387	280
895	2390	277
896	2392	274
897	2395	272
898	2398	269
899	2400	266
900	2402	264
901	2405	261
902	2408	258
903	2410	255
904	2412	253
905	2415	250
906	2418	247
907	2420	245
908	2423	242
909	2425	239
910	2428	237
911	2431	234
912	2433	231
913	2436	229
914	2439	226
915	2441	223
916	2444	221
917	2446	218
918	2449	215
919	2451	213
920	2454	210
921	2456	207
922	2459	205
923	2461	202
924	2464	199
925	2467	197
926	2469	194
927	2472	191
928	2475	189
929	2477	186
930	2480	183
931	2482	181
932	2485	178
933	2487	175
934	2490	173
935	2492	170
936	2495	167
937	2497	165
938	2500	162
939	2502	159
940	2505	157
941	2507	154
942	2510	151
943	2512	149
944	2515	146
945	2517	143
946	2520	141
947	2522	138
948	2525	135
949	2527	133
950	2530	130
951	2532	127
952	2535	125
953	2537	122
954	2540	119
955	2542	117
956	2545	114
957	2547	111
958	2550	109
959	2552	106
960	2555	103
961	2558	101
962	2560	98
963	2563	95
964	2565	93
965	2568	90
966	2570	87
967	2573	85
968	2576	82
969	2578	79
970	2581	77
971	2583	74
972	2586	71
973	2588	69
974	2591	66
975	2594	63
976	2596	61
977	2599	58
978	2601	55
979	2604	53
980	2606	50
981	2609	47
982	2612	45
983	2614	42
984	2616	39
985	2619	37
986	2622	34
987	2624	31
988	2627	29
989	2629	26
990	2632	23
991	2634	21
992	2637	18
993	2639	15
994	2642	13
995	2645	10
996	2655	7
997	2658	5
998	2661	2
999	2663	0
